Country,O+,A+,B+,AB+,O-,A-,B-,AB-
Argentina,45.4,34.26,8.59,2.64,8.4,0.44,0.21,0.06
Armenia,29.0,46.3,12.0,5.6,2.0,3.7,1.0,0.4
Australia,40.0,31.0,8.0,2.0,9.0,7.0,2.0,1.0
Austria,30.0,33.0,12.0,6.0,7.0,8.0,3.0,1.0
Bahrain,48.48,19.35,22.61,3.67,3.27,1.33,1.04,0.25
Bangladesh,31.18,21.44,34.58,8.85,1.39,0.96,0.96,0.64
Belgium,38.0,34.0,8.6,4.1,7.0,6.0,1.5,0.8
Bolivia,51.53,29.45,10.11,1.15,4.39,2.73,0.54,0.1
Bosnia and Herzegovina,31.0,36.0,12.0,6.0,5.0,7.0,2.0,1.0
Brazil,36.0,34.0,8.0,2.5,9.0,8.0,2.0,0.5
Bulgaria,28.0,37.0,13.0,7.0,5.0,7.0,2.0,1.0
Cambodia,46.7,27.2,18.5,4.9,1.3,0.8,0.5,0.1
Cameroon,42.8,38.8,12.0,3.3,1.4,1.2,0.4,0.1
Canada,39.0,36.0,7.6,2.5,7.0,6.0,1.4,0.5
Chile,85.5,8.7,3.35,1.0,1.2,0.1,0.05,0.1
China,47.7,27.8,18.9,5.0,0.28,0.19,0.1,0.03
Colombia,61.3,26.11,2.28,1.47,5.13,2.7,0.7,0.31
Ivory Coast,46.5,22.5,22.5,4.3,2.0,1.0,1.0,0.2
Croatia,29.0,36.0,15.0,5.0,5.0,6.0,3.0,1.0
Cuba,45.8,33.5,10.2,2.9,3.6,2.8,1.0,0.2
Cyprus,35.22,40.35,11.11,4.72,3.85,3.48,0.87,0.4
Czech Republic,27.0,36.0,15.0,7.0,5.0,6.0,3.0,1.0
Denmark,35.0,37.0,8.0,4.0,6.0,7.0,2.0,1.0
Dominican Republic,46.2,26.4,16.9,3.1,3.7,2.1,1.4,0.2
Ecuador,75.0,14.0,7.1,0.5,2.38,0.7,0.3,0.02
Egypt,52.0,24.0,12.4,3.8,5.0,2.0,0.6,0.2
El Salvador,62.0,23.0,11.0,1.0,1.0,1.0,0.7,0.3
Estonia,29.5,30.8,20.7,6.3,4.3,4.5,3.0,0.9
Ethiopia,39.0,28.0,21.0,5.0,3.0,2.0,1.0,1.0
Finland,27.0,38.0,15.0,7.0,4.0,6.0,2.0,1.0
France,36.0,37.0,9.0,3.0,6.0,7.0,1.0,1.0
Germany,35.0,37.0,9.0,4.0,6.0,6.0,2.0,1.0
Greece,37.4,32.9,11.0,3.7,7.0,5.0,2.0,1.0
Guinea,46.88,21.64,22.86,4.52,2.0,0.9,1.0,0.2
Honduras,57.5,27.0,7.8,2.5,2.7,1.7,0.6,0.2
Hong Kong,41.5,26.13,25.34,6.35,0.32,0.17,0.14,0.05
Hungary,27.0,33.0,16.0,8.0,5.0,7.0,3.0,1.0
Iceland,47.6,26.4,9.3,1.6,8.4,4.6,1.7,0.4
India,27.85,20.8,38.14,8.93,1.43,0.57,1.79,0.49
Indonesia,36.82,25.87,28.85,7.96,0.18,0.13,0.15,0.04
Iran,33.5,27.0,22.2,7.0,4.0,3.0,2.5,0.8
Iraq,32.1,25.0,25.6,7.4,3.6,2.7,2.7,0.9
Ireland,47.0,26.0,9.0,2.0,8.0,5.0,2.0,1.0
Israel,32.0,34.0,17.0,7.0,3.0,4.0,2.0,1.0
Italy,39.0,36.0,7.5,2.5,7.0,6.0,1.5,0.5
Jamaica,47.0,23.0,20.0,3.0,3.5,2.0,1.0,0.5
Japan,29.9,39.8,19.9,9.9,0.15,0.2,0.1,0.05
Kenya,45.6,25.2,21.28,4.2,1.8,1.0,0.9,0.02
Latvia,30.6,31.0,17.0,6.0,5.4,6.0,3.0,1.0
Lebanon,38.4,32.3,9.5,3.2,7.7,6.5,1.7,0.7
Libya,42.64,28.86,11.19,4.5,6.26,4.24,1.64,0.67
Lithuania,36.0,33.0,11.0,4.0,7.0,6.0,2.0,1.0
Luxembourg,35.0,37.0,9.0,4.0,6.0,6.0,2.0,1.0
Macau,41.5,26.1,25.4,6.3,0.33,0.17,0.15,0.05
North Macedonia,30.0,34.0,15.0,6.0,5.0,6.0,3.0,1.0
Malaysia,34.32,30.35,27.37,7.46,0.17,0.15,0.14,0.04
Mauritania,46.3,26.68,17.47,3.85,2.8,1.6,1.1,0.2
Mauritius,38.3,26.0,25.0,6.7,1.7,1.0,1.0,0.3
Mexico,55.79,29.9,8.0,1.63,2.7,1.5,0.4,0.08
Mongolia,55.4,27.7,10.9,4.96,0.6,0.3,0.1,0.04
Myanmar,35.7,23.8,32.7,6.95,0.3,0.2,0.3,0.05
Nepal,35.2,28.3,27.1,8.6,0.3,0.2,0.2,0.1
Netherlands,39.5,35.0,6.7,2.5,7.5,7.0,1.3,0.5
New Zealand,38.0,32.0,9.0,3.0,9.0,6.0,2.0,1.0
Nigeria,51.3,22.4,20.7,2.6,1.6,0.7,0.6,0.1
Norway,33.0,41.5,6.8,3.4,6.0,7.5,1.2,0.6
North Korea,27.15,31.08,30.15,11.32,0.08,0.1,0.1,0.03
Pakistan,24.63,20.6,34.4,9.52,4.17,2.66,3.57,0.45
Papua New Guinea,48.0,37.2,9.6,2.8,1.0,0.8,0.4,0.2
Peru,70.0,18.4,7.8,1.6,1.4,0.5,0.28,0.02
Philippines,36.9,28.9,26.9,6.97,0.1,0.1,0.1,0.03
