Year,Open,Close,High,Low,Volume,Adj Close
2015,149000.0,133000.0,149000.0,131000.0,11288332.0,102395.0078125
2016,139083.33333333334,139791.66666666666,146791.66666666666,133125.0,10125835.083333334,108260.794921875
2017,152250.0,154416.66666666666,162500.0,143416.66666666666,11259482.5,122945.43489583333
2018,134083.33333333334,131250.0,141166.66666666666,122875.0,11610948.416666666,107348.822265625
2019,128458.33333333333,128041.66666666667,134416.66666666666,121083.33333333333,13349633.166666666,108232.515625
2020,136841.66666666666,145125.0,161758.33333333334,127541.66666666667,48291524.5,126143.28125
2021,218333.33333333334,214250.0,231833.33333333334,205875.0,18010827.0,189522.66796875
2022,179083.33333333334,177791.66666666666,188675.0,167291.66666666666,14534788.0,161345.50651041666
2023,188900.0,191091.66666666666,198766.66666666666,181091.66666666666,10119812.083333334,181338.89322916666
2024,233225.0,246125.0,257375.0,221375.0,23415124.5,242946.640625
