Timestamp,Temperature (ºC),Wind Speed (m/s),Wind Direction (degrees),Pressure (hPa),Humidity (%),Weather
2023-07-12 15:00:00,29.65,4.47,270,998,25,Clouds
2023-07-12 16:00:00,30.15,3.6,270,997,27,Clouds
2023-07-12 17:00:00,30.1,4.63,300,997,29,Clear
2023-07-12 18:00:00,29.28,4.47,258,997,32,Clear
2023-07-12 19:00:00,28.06,6.17,280,997,37,Clear
2023-07-12 20:00:00,26.58,6.17,310,998,45,Clear
2023-07-12 21:00:00,23.23,3.58,25,1016,59,Clear
2023-07-12 22:00:00,20.84,5.14,70,1021,64,Clear
2023-07-12 23:00:00,19.17,4.47,53,1019,74,Clear
2023-07-13 00:00:00,18.83,4.92,44,1018,79,Clear
2023-07-13 01:00:00,18.23,4.12,40,1018,81,Clear
2023-07-13 02:00:00,17.57,2.57,70,1018,83,Clear
2023-07-13 03:00:00,16.91,2.57,80,1018,86,Clear
2023-07-13 04:00:00,16.23,2.57,60,1018,88,Clear
2023-07-13 05:00:00,16.0,2.57,50,1018,88,Clear
2023-07-13 06:00:00,16.24,2.06,20,1018,88,Clear
2023-07-13 07:00:00,17.17,3.09,50,1019,84,Clear
2023-07-13 08:00:00,20.15,3.6,60,1002,63,Clear
2023-07-13 09:00:00,22.35,2.57,70,1002,54,Clear
2023-07-13 10:00:00,23.88,2.06,70,1002,48,Clouds
2023-07-13 11:00:00,25.61,1.54,0,1001,46,Clouds
2023-07-13 12:00:00,27.59,2.57,30,1001,43,Clouds
2023-07-13 13:00:00,28.72,2.06,250,1000,38,Clear
2023-07-13 14:00:00,28.85,2.57,290,994,36,Clear
2023-07-11 15:00:00,34.56,6.69,250,1012,20,Clear
2023-07-11 16:00:00,34.56,7.72,260,1012,20,Clear
2023-07-11 17:00:00,33.08,8.23,270,995,19,Clear
2023-07-11 18:00:00,32.15,7.72,280,995,21,Clear
2023-07-11 19:00:00,30.71,7.2,290,996,25,Clear
2023-07-11 20:00:00,28.2,6.17,300,990,30,Clear
