Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Mitigation Finance ($ million),Adaptation Finance ($ million),Type of Financing,Currency,Project URL,,,,,,,
15-Dec-2022,48078-006,Second Power Transmission Enhancement Investment Program (Tranche 4),PAK,Pakistan,Central and West Asia,CWRD,CWEN,Sovereign,296.000,MFF-Tranche (Loan),Loan,4271,ADB funds,OCR,189.000,Energy,Energy,Dual-use,Medium,87.500,101.500,Investment,USD,https://www.adb.org/projects/48078-006/main,,,,,,,
18-Oct-2022,50347-003,Additional Financing for Dushanbe Water Supply and Sanitation Project,TAJ,Tajikistan,Central and West Asia,CWRD,CWUW,Sovereign,42.630,Project grant,Grant,0841,ADB funds,ADF,38.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,0.604,13.650,Investment,USD,https://www.adb.org/projects/50347-003/main,,,,,,,
15-Dec-2022,51066-003,"Finance Sector and Fiscal Management Improvement Program, Subprogram 2",TAJ,Tajikistan,Central and West Asia,CWRD,CWPF,Sovereign,50.000,Programmatic Approach Policy-Based Lending (Grant),Grant,0870,ADB funds,ADF,50.000,Finance,Public sector management,Dual-use,Low,2.230,1.040,Investment,USD,https://www.adb.org/projects/51066-003/main,,,,,,,
14-Nov-2022,51348-005,Mortgage Market Sector Development Program (Additional Financing),UZB,Uzbekistan,Central and West Asia,CWRD,CWPF,Sovereign,150.000,SDP - Credit line (Loan),Loan,4245,ADB funds,OCR,150.000,Finance,Finance,Mitigation,Low,7.000,,Investment,USD,https://www.adb.org/projects/51348-005/main,,,,,,,
15-Dec-2022,52069-001,Improving Workforce Readiness in Punjab  Project,PAK,Pakistan,Central and West Asia,CWRD,CWSS,Sovereign,112.000,Project Loan,Loan,4278,ADB funds,Concessional OCR,100.000,Education,Education,Dual-use,Low,3.930,2.520,Investment,USD,https://www.adb.org/projects/52069-001/main,,,,,,,
31-Dec-2022,52069-001,Strengthening the Capacity of the Government of Punjab to Deliver Quality and Inclusive Technical and Vocational Education and Training (attached TA to Improving Workforce Readiness in Punjab  Project),PAK,Pakistan,Central and West Asia,CWRD,CWSS,Sovereign,,TRTA,Technical assistance,10035,Cofinancing (Full administration),Japan Fund for Prosperous and Resilient Asia and the Pacific,2.000,Education,,Dual-use,Low,,,Technical assistance,USD,https://www.adb.org/projects/52069-001/main,,,,,,,
30-Dec-2022,52106-002,National Disaster Risk Management Project (Additional Financing),TAJ,Tajikistan,Central and West Asia,CWRD,CWER,Sovereign,32.000,Project grant,Grant,0865,ADB funds,ADF,30.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,0.100,10.520,Investment,USD,https://www.adb.org/projects/52106-002/main,,,,,,,
3-Oct-2022,52225-004,Promoting Economic Diversification Program - Subprogram 3,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWPF,Sovereign,50.000,Programmatic Approach Policy-Based Lending (Loan),Loan,4221,ADB funds,Concessional OCR,25.000,Public sector management,Public sector management,Dual-use,Low,0.800,0.800,Investment,USD,https://www.adb.org/projects/52225-004/main,,,,,,,
3-Oct-2022,52225-004,Promoting Economic Diversification Program - Subprogram 3,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWPF,Sovereign,,Programmatic Approach Policy-Based Lending (Loan),Loan,4221,ADB funds,Concessional OCR,,Public sector management,"Agriculture, natural resources and rural development",Dual-use,Low,0.800,0.800,Investment,USD,https://www.adb.org/projects/52225-004/main,,,,,,,
3-Oct-2022,52225-004,Promoting Economic Diversification Program - Subprogram 3,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWPF,Sovereign,,Programmatic Approach Policy-Based Lending (Loan),Grant,0853,ADB funds,ADF,25.000,Public sector management,Public sector management,Dual-use,Low,0.800,0.800,Investment,USD,https://www.adb.org/projects/52225-004/main,,,,,,,
