Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Mitigation Finance ($ million),Adaptation Finance ($ million),Type of Financing,Currency,Project URL,,,,
07-Dec-23,42007-021,Small and Medium-Sized Enterprises Development Program (Subprogram 2),UZB,Uzbekistan,Central and West Asia,CWRD,,Sovereign,100,Policy-Based Support,Loan,4415,ADB funds,OCR,100,Industry and trade,Education,Mitigation,Low,4.43,,Investment,US$,https://www.adb.org/projects/42007-021/main,,,,
07-Dec-23,42007-021,Small and Medium-Sized Enterprises Development Program (Subprogram 2),UZB,Uzbekistan,Central and West Asia,CWRD,,Sovereign,,Policy-Based Support,Loan,4415,ADB funds,OCR,,Industry and trade,Finance,Mitigation,Low,7,,Investment,US$,https://www.adb.org/projects/42007-021/main,,,,
07-Dec-23,42007-021,Small and Medium-Sized Enterprises Development Program (Subprogram 2),UZB,Uzbekistan,Central and West Asia,CWRD,,Sovereign,,Policy-Based Support,Loan,4415,ADB funds,OCR,,Industry and trade,Industry and trade,Mitigation,Low,10,,Investment,US$,https://www.adb.org/projects/42007-021/main,,,,
15-Dec-23,48404-005,Central Asia Regional Economic Cooperation Corridor Development Investment Program (Tranche 3),PAK,Pakistan,Central and West Asia,CWRD,CWTC,Sovereign,471.9,Investment Support,Loan,4416,ADB funds,OCR,360,Transport,Transport,Dual-use,High,1.45,129.34,Investment,US$,https://www.adb.org/projects/48404-005/main,,,,
27-Nov-23,49078-004,Seismic Safety Improvement Program – Additional Financing,ARM,Armenia,Central and West Asia,CWRD,ARMM,Sovereign,85.7,Results Based Lending,Loan,4351,ADB funds,OCR,71.97,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,4.86,4.13,Investment,US$,https://www.adb.org/projects/49078-004/main,,,,
15-Dec-23,51126-004,"Sindh Secondary Education Improvement Project, Additional Financing",PAK,Pakistan,Central and West Asia,CWRD,CWSS,Sovereign,310.8,Investment Support,Loan,4409,ADB funds,Concessional OCR,275,Education,Education,Dual-use,High,15,78,Investment,US$,https://www.adb.org/projects/51126-004/main,,,,
28-Dec-23,51126-004,"Sindh Secondary Education Improvement Project, Additional Financing",PAK,Pakistan,Central and West Asia,CWRD,CWSS,Sovereign,,TRTA,Technical assistance,10212,ADB funds,Technical Assistance Special Fund,0.8,Education,Education,Dual-use,High,,,Technical assistance,US$,https://www.adb.org/projects/51126-004/main,,,,
28-Dec-23,51131-004,Preparing the Naulong Integrated Water Resources Development Project,PAK,Pakistan,Central and West Asia,SG,SG-AFNR,Sovereign,0.528,TRTA,Technical assistance,10256,ADB funds,Technical Assistance Special Fund,0.528,"Agriculture, natural resources and rural development",Energy,Dual-use,Medium,0.06,,Technical assistance,US$,https://www.adb.org/projects/51131-004/main,,,,
28-Dec-23,51131-004,Preparing the Naulong Integrated Water Resources Development Project,PAK,Pakistan,Central and West Asia,SG,SG-AFNR,Sovereign,,TRTA,Technical assistance,10256,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,,0.06,Technical assistance,US$,https://www.adb.org/projects/51131-004/main,,,,
13-Dec-23,51276-001,Climate-Resilient Agricultural Value Chain Development Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWER,Sovereign,52.37,Investment Support,Loan,4413,ADB funds,Concessional OCR,20,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,7.1,6.1,Investment,US$,https://www.adb.org/projects/51276-001/main,,,,
13-Dec-23,51276-001,Climate-Resilient Agricultural Value Chain Development Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWER,Sovereign,,Investment Support,Grant,0925,ADB funds,ADF,20,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,7.1,6.1,Investment,US$,https://www.adb.org/projects/51276-001/main,,,,
28-Feb-23,51350-004,"Economic Management Improvement Program, Phase 2 (Subprogram 1)",UZB,Uzbekistan,Central and West Asia,CWRD,CWPF,Sovereign,150.4,Policy-Based Support,Loan,4292,ADB funds,OCR,150,Public sector management,Public sector management,Dual-use,Low,53.75,2.5,Investment,US$,https://www.adb.org/projects/51350-004/main,,,,
04-Mar-23,51350-004,"Supporting Economic Management Improvement Program, Phase 2 (attached TA to Economic Management Improvement Program, Phase 2 (Subprogram 1))",UZB,Uzbekistan,Central and West Asia,CWRD,CWPF,Sovereign,,TRTA,Technical assistance,10092,ADB funds,Technical Assistance Special Fund,0.4,Public sector management,Public sector management,Dual-use,Low,,,Technical assistance,US$,https://www.adb.org/projects/51350-004/main,,,,
12-Apr-23,52312-005,Supporting Development of Innovative Green Housing Finance,KAZ,Kazakhstan,Central and West Asia,SG,SG-FIN,Sovereign,1.017,KSTA,Technical assistance,6999,ADB funds,Climate Change Fund,0.717,Finance,Finance,Dual-use,High,0.627,0.09,Technical assistance,US$,https://www.adb.org/projects/52312-005/main,,,,
12-Apr-23,52312-005,Supporting Development of Innovative Green Housing Finance,KAZ,Kazakhstan,Central and West Asia,SG,SG-FIN,Sovereign,,KSTA,Technical assistance cofinancing,6999,Cofinancing (Full administration),Asia Pacific Climate Finance Fund,0.3,Finance,Finance,Dual-use,High,0.262,0.038,Technical assistance,US$,https://www.adb.org/projects/52312-005/main,,,,
24-Nov-23,52322-004,Digitize to Decarbonize—Power Transmission Grid Enhancement,UZB,Uzbekistan,Central and West Asia,CWRD,CWEN,Sovereign,164.3,Investment Support,Loan,4326,ADB funds,OCR,125,Energy,Energy,Dual-use,Medium,49.4,60,Investment,US$,https://www.adb.org/projects/52322-004/main,,,,
21-Jul-23,52337-001,School Education Reform Sector Development Program,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWSS,Sovereign,42.8,Investment Support,Loan,4217,ADB funds,Concessional OCR,20,Education,Education,Dual-use,Low,0.38,,Investment,US$,https://www.adb.org/projects/52337-001/main,,,,
21-Jul-23,52337-001,School Education Reform Sector Development Program,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWSS,Sovereign,,Investment Support,Grant,0851,ADB funds,ADF,5,Education,Education,Dual-use,Low,0.025,0.125,Investment,US$,https://www.adb.org/projects/52337-001/main,,,,
21-Jul-23,52337-001,School Education Reform Sector Development Program,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWSS,Sovereign,,Policy-Based Support,Grant,0852,ADB funds,ADF,15,Education,Education,Dual-use,Low,,,Investment,US$,https://www.adb.org/projects/52337-001/main,,,,
03-Oct-23,53197-002,Enhancing High-Value Crop Diversification,ARM,Armenia,Central and West Asia,SG,"Environment, Natural Resources, and Agriculture Division-CWRD; SG-AFNR",Sovereign,0.975,KSTA,Technical assistance,9942,ADB funds,Technical Assistance Special Fund,0.225,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.225,Technical assistance,US$,https://www.adb.org/projects/53197-002/main,,,,
07-Apr-23,53222-001,Preparing Sustainable Energy Projects in Central Asia,KAZ; KGZ; TAJ; REG ,Regional (Central and West Asia),Central and West Asia,SG,SG-ENE,Sovereign,4.975,TRTA,Technical assistance,9792,ADB funds,Technical Assistance Special Fund,2.7,Energy,Energy,Mitigation,Low,1,,Technical assistance,US$,https://www.adb.org/projects/53222-001/main,,,,
17-Jul-23,53222-001,Preparing Sustainable Energy Projects in Central Asia,KAZ; KGZ; TAJ; REG ,Regional (Central and West Asia),Central and West Asia,SG,SG-ENE,Sovereign,,TRTA,Technical assistance,9792,ADB funds,Technical Assistance Special Fund,0.5,Energy,Energy,Mitigation,Low,0.5,,Technical assistance,US$,https://www.adb.org/projects/53222-001/main,,,,
17-Nov-23,54014-001,Climate Smart Irrigation Sector Development Program,GEO,Georgia,Central and West Asia,CWRD,CWER,Sovereign,125.25,Policy-Based Support,Loan,4378,ADB funds,OCR,15.208,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,,7.5,Investment,US$,https://www.adb.org/projects/54014-001/main,,,,
17-Nov-23,54014-001,Climate Smart Irrigation Sector Development Program,GEO,Georgia,Central and West Asia,CWRD,CWER,Sovereign,,Investment Support,Loan,4379,ADB funds,OCR,33.458,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,1.169,22.04,Investment,US$,https://www.adb.org/projects/54014-001/main,,,,
12-Dec-23,54014-001,Climate Smart Irrigation Sector Development Program,GEO,Georgia,Central and West Asia,CWRD,CWER,Sovereign,,TRTA,Technical assistance,10182,ADB funds,Technical Assistance Special Fund,0.5,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,,,Technical assistance,US$,https://www.adb.org/projects/54014-001/main,,,,
28-Apr-23,54017-001,Integrated Urban Development Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWUW,Sovereign,68.15,Investment Support,Loan,4230,ADB funds,Concessional OCR,59,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,0.76,7,Investment,US$,https://www.adb.org/projects/54017-001/main,,,,
28-Apr-23,54017-001,Integrated Urban Development Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWUW,Sovereign,,Investment Support,Grant cofinancing,0854,Cofinancing (Full administration),High Level Technology Fund,0.5,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,,,Investment,US$,https://www.adb.org/projects/54017-001/main,,,,
20-Apr-23,54056-002,Solar Public-Private Partnership Investment Program  - Tranche 1 (Sherabad Solar Project),UZB,Uzbekistan,Central and West Asia,CWRD,CWEN,Sovereign,10,Investment Support,Guarantee,4141,ADB funds,OCR,9.105,Energy,Energy,Mitigation,Medium,9.105,,Investment,US$,https://www.adb.org/projects/54056-002/main,,,,
10-Nov-23,54097-002,Preparing the Sindh Coastal Resilience Sector Project,PAK,Pakistan,Central and West Asia,SG,SG-AFNR,Sovereign,2,TRTA,Technical assistance cofinancing,10164,Cofinancing (Full administration),Japan Fund for Prosperous and Resilient Asia and the Pacific,2,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,2,Technical assistance,US$,https://www.adb.org/projects/54097-002/main,,,,
