"anio","fecha_inicio_solicitudes","fecha_fin_solicitudes","cod_universidad","des_universidad","cod_convocatoria","des_convocatoria","nombre_convocatoria","cod_univ_aplicacion","des_univ_aplicacion","cod_ambito_aplicacion","des_ambito_aplicacion","cod_agente_financiador","des_agente_financiador","cod_agente_cofinanciador","des_agente_cofinanciador","ind_efectos_multianuales","num_periodos","cod_categoria","des_categoria","cod_financia_matricula","des_financia_matricula","ind_modalidad_compensatoria","cod_modalidad_residencia","des_modalidad_residencia","cod_modalidad_mov_interna","des_modalidad_mov_interna","cod_modalidad_mov_internacional","des_modalidad_mov_internacional","cod_modalidad_gastos_despl","des_modalidad_gastos_despl","cod_modalidad_material","des_modalidad_material","cod_modalidad_comedor","des_modalidad_comedor","cod_modalidad_contraprestacion_serv","des_modalidad_contraprestacion_serv","cod_modalidad_idiomas","des_modalidad_idiomas","ind_modalidad_discapacidad","ind_modalidad_seguros","ind_otras_modalidades","cod_nivel_estudios","des_nivel_estudios","ind_req_rendimiento","ind_req_creditos","ind_req_renta","ind_req_patrimonio","ind_req_discapacidad","ind_req_genero","ind_req_edad","ind_req_residencia_curso","ind_req_residencia_habitual","ind_req_vinc_territorial","cod_req_nacionalidad","des_req_nacionalidad","ind_req_presencialidad","ind_req_credencial_becario","ind_req_desempleado","ind_complementaria","ind_incompatible","presupuesto_inicial","presupuesto_ejecutado","num_plazas"
"2021","20210429","20210607","019","Universidad de Valladolid","071019303","Ayudas para la formación de personal investigador de la Universidad de Valladolid","Convocatoria para contratos predoctorales UVA","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","6","Otro organismo privado","SÍ","4","6","Formación de investigadores e investigadoras","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","SÍ","SÍ","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","3789856","0","41"
"2021","20210126","20210222","019","Universidad de Valladolid","071019302","Master Uva-Banco Santander","Becas Iberoamérica+Asia/UVa - Banco Santander","1","Públicas","4","Estudiantes extranjeros","6","Otro organismo privado","6","Otro organismo privado","NO",,"1","Becas y ayudas","2","Sí, en especie","NO","0","No","0","No","3","Sí, mixto","0","No","0","No","0","No","0","No","0","No","NO","SÍ","NO","2","Máster","SÍ","NO","NO","NO","NO","NO","NO","NO","SÍ","NO","0","No","SÍ","NO","NO","NO","SÍ",,,"30"
"2021","20210930","20211020","019","Universidad de Valladolid","071019306","Colaboración en tareas de investigación en Departamentos e Institutos L.O.U","Colaboración investigación departamentos e Institutos Universidad investigación","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO",,"2","Colaboración","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","4","Grado (incluyendo primer y segundo ciclo) y Máster","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","NO","SÍ","50000","48373,18","35"
"2021","20220524","20231021","019","Universidad de Valladolid","071019309","Becas deportivas","Becas Deportivas","1","Públicas","1","Estudiantes en la comunidad autónoma","4","Universidad","0","No hay","NO",,"1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","7","Otros","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","NO","NO","52000","51999,6","150"
"2021","20210624","20210720","019","Universidad de Valladolid","071019322","Programa Embajadores","Programa Embajadores - Universidad de Valladolid","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO",,"2","Colaboración","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","6","Grado, Máster y Doctorado","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","SÍ","NO","SÍ","NO","2000",,"20"
"2021","20220503","20220518","019","Universidad de Valladolid","071019325","Ayudas de excelencia para estudiantes Erasmus","Ayudas de excelencia para estudiantes Erasmus","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO",,"4","Excelencia, premios y concursos","0","No","NO","0","No","0","No","1","Sí, de carácter pecuniario","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","2","Máster","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","SÍ","NO","SÍ","NO","7000",,"3"
"2021","20220927","20221017","019","Universidad de Valladolid","071019330","Ayudas para obtención de certificado B2/C1 de idioma","Ayudas para obtención de certificado B2/C1","3","Ambas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO",,"1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","NO","NO","NO","6","Grado, Máster y Doctorado","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","SÍ","NO","SÍ","NO","50000",,"500"
"2021","20210126","20210222","019","Universidad de Valladolid","071019331","STEM WOMEN UVA-SANTANDER IBEROAMÉRICA+ASIA","STEM Women UVa - Santander Iberoamérica+Asia","1","Públicas","4","Estudiantes extranjeros","6","Otro organismo privado","6","Otro organismo privado","NO",,"1","Becas y ayudas","2","Sí, en especie","NO","0","No","0","No","3","Sí, mixto","0","No","0","No","0","No","0","No","0","No","NO","SÍ","NO","2","Máster","SÍ","NO","NO","NO","NO","NO","NO","NO","SÍ","NO","0","No","SÍ","NO","NO","NO","SÍ",,,"20"
"2021","20210621","20210715","019","Universidad de Valladolid","071019321","Becarios de Colaboración UVa","Becas de colaboración y formación","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","7","Organismo internacional","SÍ","2","2","Colaboración","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","4","Grado (incluyendo primer y segundo ciclo) y Máster","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ",,,
"2021","20220309","20220330","019","Universidad de Valladolid","071019315","Ayudas económicas a los estudiantes matriculados en enseñanzas de primer, segundo ciclo o grado de la Universidad de Valladolid","Ayudas económicas a los estudiantes de Grado","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","4","Universidad","NO",,"1","Becas y ayudas","1","Sí, de carácter pecuniario","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","1","Grado (incluyendo primer y segundo ciclo)","SÍ","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","300000","0",
