ID,Age,Gender,Country,Favorite Fruit,Frequency of Consumption,Preferred Form of Fruit
1,32,Male,USA,Apple,Daily,Fresh
2,45,Female,Canada,Banana,2-3 times a week,Smoothie
3,28,Male,UK,Orange,Once a week,Juice
4,50,Female,Australia,Mango,Daily,Fresh
5,19,Female,Germany,Strawberry,4-5 times a week,Salad
6,39,Male,France,Apple,2-3 times a week,Fresh
7,56,Female,USA,Banana,Once a week,Smoothie
8,22,Female,Canada,Orange,3-4 times a week,Juice
9,41,Male,UK,Mango,Daily,Fresh
10,30,Female,Australia,Strawberry,Once a week,Smoothie
11,47,Male,Germany,Apple,Daily,Fresh
12,25,Female,France,Banana,2-3 times a week,Smoothie
13,34,Male,USA,Orange,Once a week,Juice
14,52,Female,Canada,Mango,Daily,Fresh
15,20,Male,UK,Strawberry,4-5 times a week,Salad
16,43,Female,Australia,Apple,Daily,Fresh
17,29,Male,Germany,Banana,Once a week,Smoothie
18,38,Female,France,Orange,2-3 times a week,Juice
19,55,Male,USA,Mango,Daily,Fresh
20,21,Female,Canada,Strawberry,3-4 times a week,Smoothie
21,48,Male,UK,Apple,Once a week,Fresh
22,26,Female,Australia,Banana,4-5 times a week,Smoothie
23,35,Male,Germany,Orange,Daily,Juice
24,51,Female,France,Mango,Once a week,Fresh
25,18,Male,USA,Strawberry,Daily,Smoothie
26,42,Female,Canada,Apple,2-3 times a week,Fresh
27,31,Male,UK,Banana,Once a week,Smoothie
28,46,Female,Australia,Orange,3-4 times a week,Juice
29,23,Male,Germany,Mango,Daily,Fresh
30,40,Female,France,Strawberry,Once a week,Smoothie
31,53,Male,USA,Apple,4-5 times a week,Fresh
32,27,Female,Canada,Banana,Daily,Smoothie
33,36,Male,UK,Orange,2-3 times a week,Juice
34,49,Female,Australia,Mango,Once a week,Fresh
35,24,Male,Germany,Strawberry,Daily,Salad
36,37,Female,France,Apple,Once a week,Fresh
37,54,Male,USA,Banana,3-4 times a week,Smoothie
38,33,Female,Canada,Orange,Once a week,Juice
39,50,Male,UK,Mango,Daily,Fresh
40,28,Female,Australia,Strawberry,4-5 times a week,Smoothie
41,19,Male,Germany,Apple,Once a week,Fresh
42,39,Female,France,Banana,Daily,Smoothie
43,56,Male,USA,Orange,2-3 times a week,Juice
44,22,Female,Canada,Mango,Once a week,Fresh
45,41,Male,UK,Strawberry,Daily,Smoothie
46,30,Female,Australia,Apple,3-4 times a week,Fresh
47,47,Male,Germany,Banana,Once a week,Smoothie
48,25,Female,France,Orange,Daily,Juice
49,34,Male,USA,Mango,Once a week,Fresh
50,52,Female,Canada,Strawberry,4-5 times a week,Smoothie
51,20,Male,UK,Apple,Daily,Fresh
52,43,Female,Australia,Banana,2-3 times a week,Smoothie
53,29,Male,Germany,Orange,Once a week,Juice
54,38,Female,France,Mango,Daily,Fresh
55,55,Male,USA,Strawberry,3-4 times a week,Smoothie
56,21,Female,Canada,Apple,Once a week,Fresh
57,48,Male,UK,Banana,Daily,Smoothie
58,26,Female,Australia,Orange,2-3 times a week,Juice
