Date,Open,High,Low,Close,Adj Close,Volume
2023-04-02,26200.447266,26503.300781,26038.351563,26143.123047,26143.123047,10008255691
2023-04-03,26190.798828,26242.431641,25746.605469,26103.367188,26103.367188,11371573698
2023-04-04,26088.345703,26207.369141,25016.271484,25479.769531,25479.769531,17930593363
2023-04-05,25484.402344,26048.492188,25385.251953,25706.507813,25706.507813,13948838292
2023-04-06,25708.001953,26218.404297,25511.515625,25843.804688,25843.804688,15639753287
2023-04-07,25841.275391,25844.171875,25433.695313,25681.841797,25681.841797,12672181507
2023-04-08,25677.105469,25754.294922,25462.474609,25395.777344,25395.777344,9877612244
2023-04-09,25390.914063,25608.580078,25357.152344,25419.804688,25419.804688,8525407098
2023-04-10,25423.964844,26157.871094,25311.283203,25962.480469,25962.480469,11156638030
2023-04-11,25965.208984,27400.613281,26009.789063,27280.267578,27280.267578,17739499568
2023-04-12,27280.910156,27958.433594,27230.933594,27697.037109,27697.037109,18432220928
2023-04-13,27693.851563,27901.013672,27085.972656,27405.621094,27405.621094,16960311794
2023-04-14,27181.646484,27634.345703,27183.599609,27505.623047,27505.623047,15823204741
2023-04-15,27515.119141,28022.125000,27368.644531,27455.939453,27455.939453,20407976788
2023-04-16,27460.486328,27560.447266,27242.406250,27307.808594,27307.808594,10754951438
2023-04-17,27305.539063,27807.097656,27163.099609,27598.189453,27598.189453,11702639221
2023-04-18,27599.820313,27601.687500,26813.019531,26952.845703,26952.845703,16359502747
2023-04-19,26956.550781,27892.605469,26681.847656,27696.791016,27696.791016,17749723411
2023-04-20,27693.724609,27706.902344,26179.287109,26317.671875,26317.671875,22436026098
2023-04-21,26318.587891,26506.744141,25589.492188,25753.052734,25753.052734,19456902835
2023-04-22,25756.009766,25848.962891,24491.833984,24581.541016,24581.541016,18708153910
2023-04-23,24571.615234,25117.957031,24484.810547,25068.714844,25068.714844,11828715138
2023-04-24,25067.492188,25071.187500,24692.751953,25101.648438,25101.648438,11631739252
2023-04-25,25101.962891,25459.154297,24538.480469,24893.007813,24893.007813,16010269757
2023-04-26,24883.542969,25848.435547,24663.636719,25785.673828,25785.673828,16153506926
2023-04-27,25778.806641,27323.029297,24760.714844,25732.861328,25732.861328,28839652117
2023-04-28,25738.080078,27095.583984,25714.923828,26717.722656,26717.722656,24614353536
2023-04-29,26724.273438,26800.431641,26304.998047,26368.093750,26368.093750,15767210594
2023-04-30,26364.773438,26468.921875,26140.667969,26284.855469,26284.855469,9582232246
2023-05-01,26282.183594,26917.109375,26164.013672,26581.580078,26581.580078,13306951553
2023-05-02,26543.705078,26639.707031,25218.226563,25610.464844,25610.464844,17007900075
2023-05-03,25606.458984,26249.287109,25418.603516,26047.433594,26047.433594,14924250592
2023-05-04,26047.396484,26427.328125,25484.507813,26205.544922,26205.544922,17276515661
2023-05-05,26228.128906,26550.072266,26053.900391,26170.326172,26170.326172,14105590112
2023-05-06,26173.744141,26895.933594,26173.119141,26344.966797,26344.966797,15999596700
2023-05-07,26348.957031,26599.851563,25394.603516,25783.212891,25783.212891,14195328248
2023-05-08,25780.537109,26008.796875,25808.919922,25825.054688,25825.054688,10256839007
2023-05-09,25820.953125,26001.972656,24821.962891,25183.925781,25183.925781,17389508142
2023-05-10,25184.648438,25318.365234,24998.439453,25225.355469,25225.355469,12885559621
2023-05-11,25221.582031,25746.314453,24505.406250,25150.437500,25150.437500,18807930467
2023-05-12,25149.828125,25148.230469,24538.312500,24743.683594,24743.683594,15326289136
2023-05-13,24731.656250,24780.511719,23848.007813,24502.441406,24502.441406,17654561666
2023-05-14,24504.982422,24708.564453,24416.410156,24488.308594,24488.308594,9142102610
2023-05-15,24492.783203,24823.757813,24376.103516,24813.755859,24813.755859,9227640971
2023-05-16,24814.443359,25414.265625,24664.021484,25008.222656,25008.222656,13255373642
2023-05-17,24988.746094,25092.810547,24707.423828,24882.451172,24882.451172,11717772224
2023-05-18,24881.365234,25338.472656,24603.937500,25280.462891,25280.462891,13969457290
2023-05-19,25283.091797,25342.513672,24533.500000,24902.060547,24902.060547,14127891735
2023-05-20,24896.998047,25074.603516,24681.513672,24855.890625,24855.890625,10407241214
2023-05-21,24854.701172,25102.990234,24812.583984,25079.349609,25079.349609,6512513319
2023-05-22,25069.029297,25205.378906,24711.941406,24719.412109,24719.412109,7989850043
2023-05-23,24715.777344,25005.296875,24529.724609,24837.511719,24837.511719,10227545876
2023-05-24,24841.843750,25394.009766,24806.816406,25280.449219,25280.449219,12718537978
2023-05-25,25279.406250,25279.406250,24262.382813,24484.876953,24484.876953,15154141239
2023-05-26,24479.896484,24803.185547,24097.722656,24689.779297,24689.779297,12916545895
2023-05-27,24687.890625,25104.236328,24543.261719,24898.371094,24898.371094,11845322375
2023-05-28,24899.201172,25056.406250,24806.910156,25037.275391,25037.275391,7354174309
2023-05-29,25039.888672,26294.083984,24976.144531,26196.158203,26196.158203,13566684713
2023-05-30,26186.779297,26524.646484,25725.835938,25914.656250,25914.656250,14179342591
2023-05-31,25913.945313,26131.181641,25720.677734,25813.796875,25813.796875,12347715848
2023-06-01,25812.101563,25934.085938,25236.037109,25454.462891,25454.462891,14641055840
2023-06-02,25453.298828,25569.976563,24946.994141,24924.980469,24924.980469,13641813081
2023-06-03,24929.240234,25485.423828,24698.261719,25434.765625,25434.765625,13849243161
2023-06-04,25437.318359,25497.736328,25162.601563,25271.925781,25271.925781,7827116679
2023-06-05,25271.917969,25598.128906,25172.140625,25352.396484,25352.396484,8751095685
2023-06-06,25356.175781,25372.666016,23747.287109,24049.574219,24049.574219,20084766988
2023-06-07,24023.445313,25540.826172,23819.091797,25459.982422,25459.982422,20497575478
