date,hour,france,italy,belgium,spain,uk,germany,month,year
2022-01-01,00:00 - 01:00,89.06,170.28,82.02,145.86,0.27,50.05,1,2022
2022-01-01,01:00 - 02:00,78.48,155.72,67.07,114.9,-0.01,41.33,1,2022
2022-01-01,02:00 - 03:00,85.16,147.09,75.11,113.87,0.27,43.22,1,2022
2022-01-01,03:00 - 04:00,50.0,91.0,50.91,97.8,-0.01,45.46,1,2022
2022-01-01,04:00 - 05:00,37.67,104.0,37.67,97.8,-0.01,37.67,1,2022
2022-01-01,05:00 - 06:00,39.7,140.6,39.7,95.74,-5.27,39.7,1,2022
2022-01-01,06:00 - 07:00,40.59,147.09,40.59,97.8,-14.4,40.59,1,2022
2022-01-01,07:00 - 08:00,43.26,99.99,43.26,97.8,-23.72,43.26,1,2022
2022-01-01,08:00 - 09:00,49.66,67.99,49.66,97.8,-16.5,49.66,1,2022
2022-01-01,09:00 - 10:00,70.05,95.0,70.05,70.05,0.0,70.05,1,2022
2022-01-01,10:00 - 11:00,76.79,135.8,76.79,76.79,0.01,76.79,1,2022
2022-01-01,11:00 - 12:00,84.1,150.7,84.1,84.1,54.1,84.1,1,2022
2022-01-01,12:00 - 13:00,94.74,155.72,94.74,94.74,80.7,94.74,1,2022
2022-01-01,13:00 - 14:00,96.8,147.09,96.8,96.8,112.47,96.8,1,2022
2022-01-01,14:00 - 15:00,97.17,100.0,97.17,97.8,121.0,97.17,1,2022
2022-01-01,15:00 - 16:00,98.52,155.0,95.21,98.52,123.88,101.0,1,2022
2022-01-01,16:00 - 17:00,114.5,169.78,111.66,114.5,120.0,126.6,1,2022
2022-01-01,17:00 - 18:00,149.97,203.1,149.97,149.97,141.83,149.97,1,2022
2022-01-01,18:00 - 19:00,146.33,205.83,146.33,177.22,237.51,146.33,1,2022
2022-01-01,19:00 - 20:00,140.28,214.66,140.28,187.52,188.6,140.28,1,2022
2022-01-01,20:00 - 21:00,121.88,214.66,121.88,189.26,162.0,121.88,1,2022
2022-01-01,21:00 - 22:00,102.61,203.0,102.61,190.81,147.3,102.61,1,2022
2022-01-01,22:00 - 23:00,97.46,180.0,97.46,188.39,123.2,97.46,1,2022
2022-01-01,23:00 - 00:00,85.16,162.44,85.16,167.26,99.0,85.16,1,2022
2022-01-02,00:00 - 01:00,57.08,148.08,57.08,133.21,78.91,57.08,1,2022
2022-01-02,01:00 - 02:00,52.59,142.85,52.59,115.87,60.0,52.59,1,2022
2022-01-02,02:00 - 03:00,48.97,140.6,48.97,110.52,43.73,48.97,1,2022
2022-01-02,03:00 - 04:00,34.94,100.0,34.94,113.0,14.0,34.94,1,2022
2022-01-02,04:00 - 05:00,29.56,140.6,29.56,115.87,0.0,29.56,1,2022
2022-01-02,05:00 - 06:00,33.97,141.93,33.97,110.52,-1.31,33.97,1,2022
2022-01-02,06:00 - 07:00,34.52,147.09,34.52,115.87,-5.0,34.52,1,2022
2022-01-02,07:00 - 08:00,41.8,152.61,41.8,129.6,-19.6,41.8,1,2022
2022-01-02,08:00 - 09:00,48.95,152.59,48.95,115.87,0.0,48.95,1,2022
2022-01-02,09:00 - 10:00,60.01,155.72,60.01,115.87,0.0,60.01,1,2022
2022-01-02,10:00 - 11:00,70.09,167.98,70.09,113.0,46.1,70.09,1,2022
2022-01-02,11:00 - 12:00,66.26,175.08,66.26,103.7,92.5,66.26,1,2022
2022-01-02,12:00 - 13:00,64.54,189.58,64.54,103.7,80.78,64.54,1,2022
2022-01-02,13:00 - 14:00,46.96,169.69,46.96,110.52,89.16,46.96,1,2022
2022-01-02,14:00 - 15:00,40.01,155.72,41.95,115.87,85.13,40.01,1,2022
2022-01-02,15:00 - 16:00,39.3,167.75,48.31,109.5,96.0,29.11,1,2022
2022-01-02,16:00 - 17:00,40.79,194.21,51.91,115.87,56.83,32.76,1,2022
2022-01-02,17:00 - 18:00,47.91,245.0,56.04,159.79,120.0,42.97,1,2022
2022-01-02,18:00 - 19:00,65.09,225.19,69.32,194.25,162.0,60.96,1,2022
2022-01-02,19:00 - 20:00,67.85,216.29,69.5,198.0,133.02,60.94,1,2022
2022-01-02,20:00 - 21:00,62.22,199.64,62.22,208.38,99.74,54.12,1,2022
2022-01-02,21:00 - 22:00,46.16,178.41,46.16,209.1,79.0,46.16,1,2022
2022-01-02,22:00 - 23:00,46.29,154.44,46.29,191.36,88.91,46.29,1,2022
2022-01-02,23:00 - 00:00,32.93,144.79,32.93,178.0,0.0,32.93,1,2022
2022-01-03,00:00 - 01:00,2.71,127.0,-0.7,181.5,-10.1,0.31,1,2022
2022-01-03,01:00 - 02:00,1.71,127.0,-1.34,160.72,-10.0,-0.01,1,2022
2022-01-03,02:00 - 03:00,1.24,84.62,-0.99,154.64,-10.0,-0.07,1,2022
2022-01-03,03:00 - 04:00,0.06,83.27,-1.83,149.86,-18.88,-1.05,1,2022
2022-01-03,04:00 - 05:00,0.09,85.0,-1.72,144.49,-25.78,-1.0,1,2022
2022-01-03,05:00 - 06:00,1.44,84.5,0.0,148.86,-19.7,0.32,1,2022
2022-01-03,06:00 - 07:00,41.11,164.46,35.22,153.77,0.0,37.55,1,2022
2022-01-03,07:00 - 08:00,90.54,202.03,88.5,160.72,4.0,88.76,1,2022
2022-01-03,08:00 - 09:00,161.79,212.0,96.0,189.26,23.6,122.93,1,2022
2022-01-03,09:00 - 10:00,180.36,232.0,70.5,183.54,58.26,110.17,1,2022
2022-01-03,10:00 - 11:00,125.03,239.51,90.57,160.72,82.17,93.38,1,2022
2022-01-03,11:00 - 12:00,100.74,212.22,101.33,152.2,102.2,90.73,1,2022
2022-01-03,12:00 - 13:00,96.39,202.03,97.3,148.86,112.12,82.37,1,2022
2022-01-03,13:00 - 14:00,95.22,199.89,96.2,142.04,125.0,80.9,1,2022
2022-01-03,14:00 - 15:00,102.67,207.16,100.73,127.38,134.0,80.99,1,2022
2022-01-03,15:00 - 16:00,112.87,265.0,117.23,112.87,136.0,98.05,1,2022
2022-01-03,16:00 - 17:00,126.8,270.0,128.57,126.8,137.0,123.51,1,2022
2022-01-03,17:00 - 18:00,148.49,300.0,148.49,148.49,179.49,148.49,1,2022
2022-01-03,18:00 - 19:00,175.06,300.0,162.12,175.06,251.91,138.0,1,2022
2022-01-03,19:00 - 20:00,180.0,275.0,123.91,180.0,220.92,117.64,1,2022
2022-01-03,20:00 - 21:00,146.43,221.16,120.7,153.77,184.08,117.71,1,2022
2022-01-03,21:00 - 22:00,105.71,199.08,111.01,141.94,154.56,95.95,1,2022
2022-01-03,22:00 - 23:00,114.11,170.0,119.97,114.11,149.44,105.68,1,2022
2022-01-03,23:00 - 00:00,100.36,161.01,103.93,100.36,120.24,95.26,1,2022
2022-01-04,00:00 - 01:00,125.47,150.55,129.18,125.47,129.7,103.7,1,2022
2022-01-04,01:00 - 02:00,115.55,140.6,115.55,115.55,138.18,108.27,1,2022
2022-01-04,02:00 - 03:00,113.29,113.29,116.86,113.29,143.0,105.92,1,2022
2022-01-04,03:00 - 04:00,105.81,105.81,107.07,105.81,128.71,103.41,1,2022
2022-01-04,04:00 - 05:00,105.0,105.0,106.21,105.0,112.3,102.71,1,2022
2022-01-04,05:00 - 06:00,115.11,120.0,115.57,115.11,120.0,114.23,1,2022
2022-01-04,06:00 - 07:00,156.91,156.91,156.91,153.77,129.96,156.91,1,2022
2022-01-04,07:00 - 08:00,182.64,182.64,182.64,161.03,184.74,182.64,1,2022
2022-01-04,08:00 - 09:00,178.91,200.0,178.91,178.91,277.0,178.91,1,2022
2022-01-04,09:00 - 10:00,190.0,192.8,190.0,190.0,233.0,190.0,1,2022
2022-01-04,10:00 - 11:00,189.88,189.88,189.88,189.88,201.78,189.88,1,2022
2022-01-04,11:00 - 12:00,182.42,182.42,182.42,182.42,199.35,182.42,1,2022
2022-01-04,12:00 - 13:00,182.46,182.46,182.46,182.46,197.0,182.46,1,2022
2022-01-04,13:00 - 14:00,179.59,179.59,179.59,179.59,191.7,179.59,1,2022
2022-01-04,14:00 - 15:00,179.0,179.0,179.0,163.2,182.41,179.0,1,2022
2022-01-04,15:00 - 16:00,180.93,180.93,180.93,157.3,179.33,180.93,1,2022
2022-01-04,16:00 - 17:00,166.69,192.27,166.69,157.3,179.0,166.69,1,2022
2022-01-04,17:00 - 18:00,189.88,201.21,189.88,163.78,212.0,189.88,1,2022
2022-01-04,18:00 - 19:00,184.94,197.19,184.94,184.94,248.0,184.94,1,2022
2022-01-04,19:00 - 20:00,178.99,190.35,178.99,178.99,241.1,178.99,1,2022
2022-01-04,20:00 - 21:00,156.12,170.84,156.12,156.12,221.0,156.12,1,2022
2022-01-04,21:00 - 22:00,148.65,161.3,144.9,148.65,180.49,140.92,1,2022
2022-01-04,22:00 - 23:00,137.92,156.8,137.92,137.92,180.0,137.92,1,2022
2022-01-04,23:00 - 00:00,105.0,145.6,98.1,105.0,136.0,97.56,1,2022
2022-01-05,00:00 - 01:00,120.11,142.6,114.37,120.11,197.17,105.31,1,2022
2022-01-05,01:00 - 02:00,105.1,105.1,106.72,105.1,197.17,97.29,1,2022
2022-01-05,02:00 - 03:00,84.5,84.5,84.5,84.5,195.0,84.5,1,2022
2022-01-05,03:00 - 04:00,75.38,75.38,75.38,75.38,173.0,75.38,1,2022
2022-01-05,04:00 - 05:00,79.11,79.11,79.11,79.11,172.0,79.11,1,2022
