,Entity,Code,Year,Mean male height (cm),Mean female height (cm),mean male height (m),mean female height (m),difference height (m)
17473,Spain,ESP,1896,162.2902593,151.1089341,1.622902593,1.511089341,0.11181325200000014
17474,Spain,ESP,1897,162.3736853,151.1867574,1.623736853,1.511867574,0.11186927899999999
17475,Spain,ESP,1898,162.4573722,151.2648009,1.624573722,1.512648009,0.11192571299999998
17476,Spain,ESP,1899,162.5413887,151.3429404,1.625413887,1.513429404,0.11198448299999986
17477,Spain,ESP,1900,162.6253387,151.4209403,1.6262533869999998,1.5142094030000002,0.1120439839999996
17478,Spain,ESP,1901,162.7100296,151.4992208,1.627100296,1.5149922079999998,0.11210808800000027
17479,Spain,ESP,1902,162.7956278,151.577607,1.627956278,1.51577607,0.11218020800000006
17480,Spain,ESP,1903,162.8816724,151.656084,1.6288167240000002,1.51656084,0.1122558840000003
17481,Spain,ESP,1904,162.9679757,151.734375,1.6296797570000001,1.51734375,0.11233600700000013
17482,Spain,ESP,1905,163.0546028,151.8126216,1.630546028,1.518126216,0.11241981199999995
17483,Spain,ESP,1906,163.1421541,151.8916829,1.631421541,1.5189168290000001,0.11250471199999978
17484,Spain,ESP,1907,163.2312943,151.9721722,1.632312943,1.5197217219999999,0.11259122100000019
17485,Spain,ESP,1908,163.3235493,152.0545963,1.633235493,1.5205459629999998,0.11268953000000015
17486,Spain,ESP,1909,163.4194421,152.140536,1.634194421,1.52140536,0.11278906099999997
17487,Spain,ESP,1910,163.5200752,152.2314089,1.635200752,1.522314089,0.11288666300000005
17488,Spain,ESP,1911,163.6271773,152.3289819,1.636271773,1.523289819,0.1129819540000001
17489,Spain,ESP,1912,163.7426559,152.4343213,1.637426559,1.5243432129999999,0.11308334600000003
17490,Spain,ESP,1913,163.8657714,152.5479278,1.638657714,1.525479278,0.1131784360000001
17491,Spain,ESP,1914,163.9960369,152.6706817,1.639960369,1.526706817,0.11325355199999998
17492,Spain,ESP,1915,164.1326989,152.8026407,1.6413269890000002,1.528026407,0.11330058200000015
17493,Spain,ESP,1916,164.2750511,152.9431262,1.642750511,1.529431262,0.11331924900000012
17494,Spain,ESP,1917,164.4229439,153.0913481,1.644229439,1.530913481,0.11331595800000005
17495,Spain,ESP,1918,164.5752406,153.2460501,1.645752406,1.5324605009999999,0.11329190500000008
17496,Spain,ESP,1919,164.7308904,153.4059205,1.647308904,1.5340592050000001,0.11324969899999981
17497,Spain,ESP,1920,164.8895,153.570318,1.648895,1.5357031799999998,0.11319182000000017
17498,Spain,ESP,1921,165.0506903,153.7381494,1.6505069030000001,1.537381494,0.11312540900000023
17499,Spain,ESP,1922,165.2119743,153.9085818,1.652119743,1.539085818,0.11303392500000009
17500,Spain,ESP,1923,165.3720141,154.0794492,1.653720141,1.540794492,0.1129256489999999
17501,Spain,ESP,1924,165.5306209,154.2509617,1.655306209,1.542509617,0.1127965919999998
17502,Spain,ESP,1925,165.688677,154.424509,1.65688677,1.54424509,0.11264168000000008
17503,Spain,ESP,1926,165.8462455,154.5995871,1.658462455,1.5459958710000001,0.11246658399999987
17504,Spain,ESP,1927,166.0037911,154.7754372,1.660037911,1.547754372,0.1122835390000001
17505,Spain,ESP,1928,166.161177,154.9517388,1.6616117700000002,1.549517388,0.11209438200000021
17506,Spain,ESP,1929,166.3179361,155.1285668,1.663179361,1.5512856679999998,0.1118936930000003
17507,Spain,ESP,1930,166.4746233,155.3054384,1.6647462329999998,1.5530543840000002,0.11169184899999962
17508,Spain,ESP,1931,166.6310636,155.4800947,1.666310636,1.554800947,0.11150968900000002
17509,Spain,ESP,1932,166.7868982,155.6532513,1.6678689819999999,1.5565325129999998,0.11133646900000005
17510,Spain,ESP,1933,166.9445541,155.8260993,1.669445541,1.5582609930000002,0.11118454799999977
17511,Spain,ESP,1934,167.1063069,156.0004109,1.671063069,1.5600041089999999,0.11105896000000004
17512,Spain,ESP,1935,167.2731335,156.1759129,1.672731335,1.561759129,0.11097220600000002
17513,Spain,ESP,1936,167.4430952,156.3519864,1.6744309519999998,1.5635198639999999,0.11091108799999994
17514,Spain,ESP,1937,167.6157474,156.5273123,1.676157474,1.565273123,0.11088435099999994
17515,Spain,ESP,1938,167.790651,156.7000632,1.67790651,1.5670006319999998,0.11090587800000007
17516,Spain,ESP,1939,167.9673313,156.8684891,1.6796733130000001,1.568684891,0.11098842200000014
17517,Spain,ESP,1940,168.1445747,157.0309618,1.681445747,1.570309618,0.11113612899999992
17518,Spain,ESP,1941,168.3223756,157.1861585,1.6832237559999998,1.571861585,0.1113621709999999
17519,Spain,ESP,1942,168.5028287,157.3352214,1.6850282870000002,1.573352214,0.11167607300000015
17520,Spain,ESP,1943,168.6889789,157.4802179,1.6868897889999999,1.5748021790000002,0.11208760999999967
17521,Spain,ESP,1944,168.8811095,157.6233914,1.6888110950000002,1.5762339140000001,0.11257718100000003
17522,Spain,ESP,1945,169.0800041,157.7655251,1.690800041,1.577655251,0.11314479
17523,Spain,ESP,1946,169.2867759,157.908296,1.692867759,1.57908296,0.11378479900000005
17524,Spain,ESP,1947,169.5002256,158.0531321,1.695002256,1.580531321,0.11447093499999994
17525,Spain,ESP,1948,169.7204586,158.2003733,1.697204586,1.5820037329999999,0.11520085300000016
17526,Spain,ESP,1949,169.9452249,158.350131,1.699452249,1.58350131,0.11595093899999998
17527,Spain,ESP,1950,170.1736427,158.5036789,1.701736427,1.5850367890000001,0.11669963799999983
17528,Spain,ESP,1951,170.4035098,158.6611587,1.7040350979999999,1.586611587,0.11742351099999992
17529,Spain,ESP,1952,170.6337655,158.82245,1.706337655,1.5882245,0.11811315500000008
17530,Spain,ESP,1953,170.8643469,158.9879425,1.7086434689999999,1.5898794250000001,0.11876404399999974
17531,Spain,ESP,1954,171.0948385,159.1572867,1.710948385,1.5915728669999998,0.11937551800000024
17532,Spain,ESP,1955,171.3239088,159.3309253,1.713239088,1.593309253,0.11992983499999998
17533,Spain,ESP,1956,171.5501658,159.5075921,1.715501658,1.595075921,0.12042573699999992
17534,Spain,ESP,1957,171.77467,159.6876755,1.7177467,1.596876755,0.12086994499999992
17535,Spain,ESP,1958,171.9976868,159.8708831,1.719976868,1.598708831,0.1212680370000001
17536,Spain,ESP,1959,172.2179495,160.0557231,1.722179495,1.600557231,0.12162226399999998
17537,Spain,ESP,1960,172.4342402,160.2412968,1.724342402,1.6024129679999999,0.12192943400000011
17538,Spain,ESP,1961,172.646601,160.426647,1.72646601,1.60426647,0.12219954
17539,Spain,ESP,1962,172.854729,160.609524,1.7285472899999998,1.60609524,0.12245204999999992
