"COUNTRY","Country","ECO_SECTOR","Working domain","SEX","Sex","OCCUP_RATE","Working status","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","AQUA","Aquaculture","TOT_SEX","TOTAL (Sex)","TOTAL_STATUS","TOTAL (Working Status)","2010","2010","NBR","Number","0","Units",,,7000,,
"AUS","Australia","AQUA","Aquaculture","TOT_SEX","TOTAL (Sex)","TOTAL_STATUS","TOTAL (Working Status)","2011","2011","NBR","Number","0","Units",,,7000,,
"AUS","Australia","AQUA","Aquaculture","TOT_SEX","TOTAL (Sex)","TOTAL_STATUS","TOTAL (Working Status)","2012","2012","NBR","Number","0","Units",,,7000,,
"AUS","Australia","AQUA","Aquaculture","TOT_SEX","TOTAL (Sex)","TOTAL_STATUS","TOTAL (Working Status)","2013","2013","NBR","Number","0","Units",,,6000,,
"AUS","Australia","AQUA","Aquaculture","TOT_SEX","TOTAL (Sex)","TOTAL_STATUS","TOTAL (Working Status)","2014","2014","NBR","Number","0","Units",,,7000,,
"AUS","Australia","AQUA","Aquaculture","TOT_SEX","TOTAL (Sex)","TOTAL_STATUS","TOTAL (Working Status)","2015","2015","NBR","Number","0","Units",,,7000,,
"AUS","Australia","AQUA","Aquaculture","TOT_SEX","TOTAL (Sex)","TOTAL_STATUS","TOTAL (Working Status)","2016","2016","NBR","Number","0","Units",,,6000,,
"AUS","Australia","AQUA","Aquaculture","TOT_SEX","TOTAL (Sex)","TOTAL_STATUS","TOTAL (Working Status)","2017","2017","NBR","Number","0","Units",,,6000,,
"AUS","Australia","AQUA","Aquaculture","TOT_SEX","TOTAL (Sex)","TOTAL_STATUS","TOTAL (Working Status)","2018","2018","NBR","Number","0","Units",,,6000,,
"AUS","Australia","AQUA","Aquaculture","TOT_SEX","TOTAL (Sex)","TOTAL_STATUS","TOTAL (Working Status)","2019","2019","NBR","Number","0","Units",,,6000,,
"AUS","Australia","AQUA","Aquaculture","TOT_SEX","TOTAL (Sex)","TOTAL_STATUS","TOTAL (Working Status)","2020","2020","NBR","Number","0","Units",,,7000,,
"AUS","Australia","AQUA","Aquaculture","TOT_SEX","TOTAL (Sex)","TOTAL_STATUS","TOTAL (Working Status)","2021","2021","NBR","Number","0","Units",,,7000,,
"AUS","Australia","AQUA","Aquaculture","UNSP_SEX","Sex Unspecified","TOTAL_STATUS","TOTAL (Working Status)","2010","2010","NBR","Number","0","Units",,,7000,,
"AUS","Australia","AQUA","Aquaculture","UNSP_SEX","Sex Unspecified","TOTAL_STATUS","TOTAL (Working Status)","2011","2011","NBR","Number","0","Units",,,7000,,
"AUS","Australia","AQUA","Aquaculture","UNSP_SEX","Sex Unspecified","TOTAL_STATUS","TOTAL (Working Status)","2012","2012","NBR","Number","0","Units",,,7000,,
"AUS","Australia","AQUA","Aquaculture","UNSP_SEX","Sex Unspecified","TOTAL_STATUS","TOTAL (Working Status)","2013","2013","NBR","Number","0","Units",,,6000,,
"AUS","Australia","AQUA","Aquaculture","UNSP_SEX","Sex Unspecified","TOTAL_STATUS","TOTAL (Working Status)","2014","2014","NBR","Number","0","Units",,,7000,,
"AUS","Australia","AQUA","Aquaculture","UNSP_SEX","Sex Unspecified","TOTAL_STATUS","TOTAL (Working Status)","2015","2015","NBR","Number","0","Units",,,7000,,
"AUS","Australia","AQUA","Aquaculture","UNSP_SEX","Sex Unspecified","TOTAL_STATUS","TOTAL (Working Status)","2016","2016","NBR","Number","0","Units",,,6000,,
"AUS","Australia","AQUA","Aquaculture","UNSP_SEX","Sex Unspecified","TOTAL_STATUS","TOTAL (Working Status)","2017","2017","NBR","Number","0","Units",,,6000,,
